% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=531467, Thu Apr 13 20:22:45 2023, <python>{}</python>
1 8 0.9645914567330052 0 0 0.9667343860716071 0.9227562406283075 0.9251611874713707 1.0242742958246016 0.9236748134436817
2 16 1.0490544270728406 0 0 1.0547986595739498 0.9534441645577174 1.0102051019691525 1.262115395770128 0.995104026449932
3 24 1.0990332041901587 0 0 1.025598458637184 0.9620278302363605 1.1628623474509763 1.346059509073116 1.0711358761184755
4 32 0.9424262569928227 0 0 0.8669596556553797 0.8070761257285969 0.9423241317352935 1.0916640572832879 0.888711036252121
5 40 0.9031683073985827 0 0 0.8024706890650461 0.8109364175865849 0.9067965593293924 0.9706253941382045 0.8372334476327146
6 48 1.123337212634087 0 0 0.9860013441285462 0.9550565709051972 1.2216429295276547 1.2278317425306533 1.0469262768713583
7 56 1.3250099007267944 0 0 1.1337109709292195 1.1618684120845468 1.4852482317062174 1.3167570879201804 1.277629513432351
8 64 1.7326985941535047 0 0 1.4270253574048128 1.5633741200264384 2.123621583373242 1.684691582523347 1.647648738956841
9 72 1.9934405133030146 0 0 1.6486956826968626 1.8209392463612024 2.398444880245634 1.904430893945673 1.8185033731918143
10 80 2.0300506632228035 0 0 1.689810028080648 1.8789859500640613 2.6759614728778813 1.9520236014857035 1.8754629420963707
11 88 2.1505537022864076 0 0 1.9442356112092076 1.7879412618262205 2.794714825546561 2.0092300412057083 1.9500903994492556
12 96 2.2402169393519955 0 0 2.0499560214162735 1.7505242377025456 2.792791141171678 2.051479865251709 2.0793147039213213
13 104 2.3102519771693473 0 0 2.1101651664462557 1.9824607664084115 2.887512792272333 1.9374642236437853 2.199914959137186
14 112 2.295232203442995 0 0 1.9875046178284241 1.93753867171462 2.9568618147111554 1.9333985782091263 2.1557145693856734
15 120 2.0409790255590967 0 0 1.758376506234014 1.734242886533284 2.433848098266495 1.6834257025263974 1.9367190141070318
16 128 1.8112979190078475 0 0 1.50982182082423 1.5205287648020278 2.104238099886468 1.4073701630768245 1.6884616384319684
17 136 1.6077416473089092 0 0 1.329974135378065 1.325465318980466 1.8398967188400444 1.2556761020903173 1.4179603178210896
18 144 1.8033056698747438 0 0 1.392743666616568 1.4493532576468169 2.3017772228842643 1.4028069605844502 1.7673972624185252
19 152 1.5755431155507094 0 0 1.188778083619668 1.2332683220308422 2.062580232409736 1.1868205096417463 1.6313515932558902
20 160 1.650556237602803 0 0 1.3834063502388496 1.279556165409497 2.1316675272791406 1.2348253564873048 1.642450885605482
21 168 1.7636653245587808 0 0 1.514102829218415 1.3035882331044255 2.3663565792013803 1.390527114636292 1.7358272225398659
22 176 1.6484917280224112 0 0 1.33381486705378 1.1600210705941438 2.2829139309499085 1.2634114198615782 1.7728398121173792
23 184 1.3715981382155964 0 0 1.1353266297116495 0.946586714970047 1.9353051115055766 0.9978449093467892 1.4961974269134304
24 192 1.436225067161031 0 0 1.1564769424105112 1.0089758842011658 2.1813517075518747 1.0402065930153093 1.6492196221829
25 200 1.4690273732739514 0 0 1.101867383804819 0.9577463969082886 2.3320709532434734 1.0547645585959273 1.7152600343619457
26 208 1.3678903234644497 0 0 1.0359701753766901 0.846960946066681 2.221496644398824 0.9987512072968827 1.5421122878929239
27 216 1.2290802328559989 0 0 0.9090332924562325 0.7153167220164385 1.9968579300523255 0.9037472079427884 1.4749458546355618
28 224 1.0412127633688597 0 0 0.7523708944111434 0.607403781206214 1.5795797109154484 0.737098761657524 1.1735630339811605
29 232 0.9141783612316711 0 0 0.6520763360563528 0.5032192500811701 1.3528901463430938 0.5938847762573621 1.0014889393416246
30 240 1.0421936676304293 0 0 0.6731522709136406 0.67512933586919 1.5426022451602777 0.6734848753958006 1.1682256459212936
31 248 1.1004778596395766 0 0 0.7119118598753351 0.7489996926771496 1.6451023555294244 0.6575426981131282 1.2546965332268794
32 256 1.212551295779445 0 0 0.795664106307137 0.8026995930628436 1.8987252814791642 0.7663941802652104 1.331964260944257
33 264 1.1236895001465175 0 0 0.6696451001796554 0.6825414714995012 1.8250847272339437 0.7237029062951199 1.2458997496590507
34 272 0.9725689657021289 0 0 0.5786064928937715 0.5908414767380767 1.5721573538180065 0.6007019299885372 1.0134946982083288
35 280 0.9487835707730934 0 0 0.5619463180702277 0.5397234076865791 1.5084658607882986 0.5934359711641047 0.9606647726764982
