% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=525112, Fri Apr 14 01:04:29 2023
1 8 -0.16451392742365567 -0.04614631912013594 0.035177992779955966 0.07983716050342621 0.8994903837302809 0.9490794263456657 1.0053936291449894 1.034963370206758 1.0991814067155021
2 16 -0.2151340798802837 -0.04325904794620901 0.08879284341651424 0.11642553491136318 0.8994903837302809 0.9490794263456657 1.0053936291449894 1.034963370206758 1.0991814067155021
3 24 -0.2504836281462716 -0.09664935645316414 0.04446967064824396 0.1829856979047056 0.8994903837302809 0.9490794263456657 1.0053936291449894 1.034963370206758 1.0991814067155021
4 32 -0.17188990460028575 -0.021145657989490887 0.03940355155705255 0.11813372851316269 0.8994903837302809 0.9490794263456657 1.0053936291449894 1.034963370206758 1.0991814067155021
5 40 -0.1524826949008148 -0.06826136715296935 0.08016296547517882 0.1533263806461972 0.8994903837302809 0.9490794263456657 1.0053936291449894 1.034963370206758 1.0991814067155021
6 48 -0.25468238227804046 -0.09922881557159352 0.08787382415206998 0.155715017474799 0.811158888387373 0.924629653802273 0.9893217706895032 1.0539295805776252 1.182182783804141
7 56 -0.2334881473090451 -0.09380262788071131 0.09393487122510921 0.2585442093508944 0.811158888387373 0.924629653802273 0.9893217706895032 1.0539295805776252 1.182182783804141
8 64 -0.29149311415857065 -0.14052813634008215 0.012413377107281123 0.31628896703878057 0.811158888387373 0.924629653802273 0.9893217706895032 1.0539295805776252 1.182182783804141
9 72 -0.4039569905551949 -0.25302467724220573 0.0851667145578695 0.4082735946729402 0.811158888387373 0.924629653802273 0.9893217706895032 1.0539295805776252 1.182182783804141
10 80 -0.433597633014357 -0.2853059098035905 0.07514624090709227 0.4096732903500262 0.811158888387373 0.924629653802273 0.9893217706895032 1.0539295805776252 1.182182783804141
11 88 -0.46360472940640707 -0.3120469721644064 0.0841038714532457 0.4070608636583061 0.6544619561853652 0.7956480252786313 0.8152599011469374 1.106469088671792 1.431677763036061
12 96 -0.4748907557367263 -0.3265381140469535 0.0829109482701253 0.4310781902371012 0.6544619561853652 0.7956480252786313 0.8152599011469374 1.106469088671792 1.431677763036061
13 104 -0.4254539528308448 -0.3248639052091575 -0.010775178892338373 0.508243703076067 0.6544619561853652 0.7956480252786313 0.8152599011469374 1.106469088671792 1.431677763036061
14 112 -0.3976054200043079 -0.314095801575351 -0.02502342465992724 0.5393729023859433 0.6544619561853652 0.7956480252786313 0.8152599011469374 1.106469088671792 1.431677763036061
15 120 -0.42631341155919283 -0.2752545903222497 -0.0006921824137089406 0.5808008557808493 0.6544619561853652 0.7956480252786313 0.8152599011469374 1.106469088671792 1.431677763036061
16 128 -0.4875371511614836 -0.2827573575874293 0.01223733008034232 0.5900185061129428 0.5902251992239261 0.6553962267766879 0.8161638897934556 1.1777633757990902 1.472698182164799
17 136 -0.4350630644867314 -0.39026903817852526 0.04072870073406511 0.5986407661456508 0.5902251992239261 0.6553962267766879 0.8161638897934556 1.1777633757990902 1.472698182164799
18 144 -0.4784773146673269 -0.3937529446380138 0.03375971864465596 0.6196227626131781 0.5902251992239261 0.6553962267766879 0.8161638897934556 1.1777633757990902 1.472698182164799
19 152 -0.5493321144974745 -0.3865122559411382 0.09638117337074598 0.6057108436126607 0.5902251992239261 0.6553962267766879 0.8161638897934556 1.1777633757990902 1.472698182164799
20 160 -0.5653990144656588 -0.4010040518788365 0.14987195034510048 0.5758946107209633 0.5902251992239261 0.6553962267766879 0.8161638897934556 1.1777633757990902 1.472698182164799
21 168 -0.5535006878921929 -0.35567885183113557 0.062358721915026685 0.6047633049472989 0.5234517277778512 0.6158415267582429 0.8696480770610933 1.1927309373171193 1.472359547066214
22 176 -0.5472205888295448 -0.3521528495939213 0.03600224439637803 0.6700591725784814 0.5234517277778512 0.6158415267582429 0.8696480770610933 1.1927309373171193 1.472359547066214
23 184 -0.5481062009144886 -0.35317352880051234 0.0856269407902046 0.6868661120687141 0.5234517277778512 0.6158415267582429 0.8696480770610933 1.1927309373171193 1.472359547066214
