% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=648184, Sat Apr 15 13:45:42 2023, <python>{}</python>
1 8 0.9592135014289028 1.0000400008000108 19.819524562047974 1.9819524562047974e+01 38.48919828502089 53.02458518034429   
2 16 0.9646186968973164 1.2251671736335124 19.819524562047974 2.7018808570283987e+01 44.213722616403274 53.28627888568461   
3 24 0.8339530913453683 1.4132999289363062 19.819524562047974 2.9242252342487667e+01 44.79725513459558 49.62130730631595   
4 32 0.7324166329329272 1.6724209655872555 19.819524562047974 2.9496098359265623e+01 35.45997067442699 45.79847545511787   
5 40 0.6143257977792462 1.899848260240237 19.819524562047974 2.8426309091528729e+01 44.12641122721652 47.153464606210775   
6 48 0.5669474472935652 1.979913768449776 19.819524562047974 3.5034561846703049e+01 42.48125935884774 50.51397639462139   
7 56 0.5378722720918471 2.0538802862376437 19.819524562047974 2.5066688528557222e+01 37.18325393284987 47.817619857026614   
8 64 0.5369969237799656 2.1521724841598293 16.652229954350425 1.6652229954350425e+01 34.548860154353555 45.237149086611915   
9 72 0.545006500042065 2.3250293304819603 16.652229954350425 1.9429302258509999e+01 33.207109522270855 43.09572431972608   
10 80 0.48856701912481054 2.4975089665300363 16.652229954350425 2.6325366272496399e+01 41.8973748898018 48.791056011105624   
